Question,Source Article Index,Question Type,Summary,documentIDs
How do the approaches to explainability in AI systems differ between 'xLP' for master data management (abs-2403.09806v1) and 'CausalSAT' for SAT solvers (abs-2306.06294v1)?,"abs-2403.09806v1,abs-2306.06294v1",Comparative & Contrastive,"Title: xLP: Explainable Link Prediction for Master Data Management 
Summary: Explaining neural model predictions to users requires creativity. Especially
in enterprise applications, where there are costs associated with users' time,
and their trust in the model predictions is critical for adoption. For link
prediction in master data management, we have built a number of explainability
solutions drawing from research in interpretability, fact verification, path
ranking, neuro-symbolic reasoning and self-explaining AI. In this demo, we
present explanations for link prediction in a creative way, to allow users to
choose explanations they are more comfortable with. 

Title: Explaining SAT Solving Using Causal Reasoning 
Summary: The past three decades have witnessed notable success in designing efficient
SAT solvers, with modern solvers capable of solving industrial benchmarks
containing millions of variables in just a few seconds. The success of modern
SAT solvers owes to the widely-used CDCL algorithm, which lacks comprehensive
theoretical investigation. Furthermore, it has been observed that CDCL solvers
still struggle to deal with specific classes of benchmarks comprising only
hundreds of variables, which contrasts with their widespread use in real-world
applications. Consequently, there is an urgent need to uncover the inner
workings of these seemingly weak yet powerful black boxes.
  In this paper, we present a first step towards this goal by introducing an
approach called CausalSAT, which employs causal reasoning to gain insights into
the functioning of modern SAT solvers. CausalSAT initially generates
observational data from the execution of SAT solvers and learns a structured
graph representing the causal relationships between the components of a SAT
solver. Subsequently, given a query such as whether a clause with low literals
blocks distance (LBD) has a higher clause utility, CausalSAT calculates the
causal effect of LBD on clause utility and provides an answer to the question.
We use CausalSAT to quantitatively verify hypotheses previously regarded as
""rules of thumb"" or empirical findings such as the query above. Moreover,
CausalSAT can address previously unexplored questions, like which branching
heuristic leads to greater clause utility in order to study the relationship
between branching and clause management. Experimental evaluations using
practical benchmarks demonstrate that CausalSAT effectively fits the data,
verifies four ""rules of thumb"", and provides answers to three questions closely
related to implementing modern solvers. 

","abs-2403.09806v1, abs-2306.06294v1, abs-2108.09586v1, abs-2205.13745v2"
Compare the application of procedural content generation in abs-2207.05271v1 for online game level generation from music with its conceptualization in abs-2007.06108v2 for tabletop roleplaying games.,"abs-2207.05271v1,abs-2007.06108v2",Comparative & Contrastive,"Title: Online Game Level Generation from Music 
Summary: Game consists of multiple types of content, while the harmony of different
content types play an essential role in game design. However, most works on
procedural content generation consider only one type of content at a time. In
this paper, we propose and formulate online level generation from music, in a
way of matching a level feature to a music feature in real-time, while adapting
to players' play speed. A generic framework named online player-adaptive
procedural content generation via reinforcement learning, OPARL for short, is
built upon the experience-driven reinforcement learning and controllable
reinforcement learning, to enable online level generation from music.
Furthermore, a novel control policy based on local search and k-nearest
neighbours is proposed and integrated into OPARL to control the level generator
considering the play data collected online. Results of simulation-based
experiments show that our implementation of OPARL is competent to generate
playable levels with difficulty degree matched to the ``energy'' dynamic of
music for different artificial players in an online fashion. 

Title: Tabletop Roleplaying Games as Procedural Content Generators 
Summary: Tabletop roleplaying games (TTRPGs) and procedural content generators can
both be understood as systems of rules for producing content. In this paper, we
argue that TTRPG design can usefully be viewed as procedural content generator
design. We present several case studies linking key concepts from PCG research
-- including possibility spaces, expressive range analysis, and generative
pipelines -- to key concepts in TTRPG design. We then discuss the implications
of these relationships and suggest directions for future work uniting research
in TTRPGs and PCG. 

","abs-2207.05271v1, abs-2106.15877v2, abs-2305.00644v1, abs-2007.06108v2, abs-2104.08890v1"
"How could the 'representation editing' approach from abs-2409.16913v1, which shifts conflicting requests to a 'rejection region,' be applied to the biased prompt scenarios in abs-2309.09825v3 to make LLMs like LLaMA more likely to decline generating harmful content?","abs-2409.16913v1,abs-2309.09825v3",Synthesis & Multi-Hop Reasoning,"Title: Tell Me What You Don't Know: Enhancing Refusal Capabilities of
  Role-Playing Agents via Representation Space Analysis and Editing 
Summary: Role-Playing Agents (RPAs) have shown remarkable performance in various
applications, yet they often struggle to recognize and appropriately respond to
hard queries that conflict with their role-play knowledge. To investigate RPAs'
performance when faced with different types of conflicting requests, we develop
an evaluation benchmark that includes contextual knowledge conflicting
requests, parametric knowledge conflicting requests, and non-conflicting
requests to assess RPAs' ability to identify conflicts and refuse to answer
appropriately without over-refusing. Through extensive evaluation, we find that
most RPAs behave significant performance gaps toward different conflict
requests. To elucidate the reasons, we conduct an in-depth representation-level
analysis of RPAs under various conflict scenarios. Our findings reveal the
existence of rejection regions and direct response regions within the model's
forwarding representation, and thus influence the RPA's final response
behavior. Therefore, we introduce a lightweight representation editing approach
that conveniently shifts conflicting requests to the rejection region, thereby
enhancing the model's refusal accuracy. The experimental results validate the
effectiveness of our editing method, improving RPAs' refusal ability of
conflicting requests while maintaining their general role-playing capabilities. 

Title: Bias of AI-Generated Content: An Examination of News Produced by Large
  Language Models 
Summary: Large language models (LLMs) have the potential to transform our lives and
work through the content they generate, known as AI-Generated Content (AIGC).
To harness this transformation, we need to understand the limitations of LLMs.
Here, we investigate the bias of AIGC produced by seven representative LLMs,
including ChatGPT and LLaMA. We collect news articles from The New York Times
and Reuters, both known for their dedication to provide unbiased news. We then
apply each examined LLM to generate news content with headlines of these news
articles as prompts, and evaluate the gender and racial biases of the AIGC
produced by the LLM by comparing the AIGC and the original news articles. We
further analyze the gender bias of each LLM under biased prompts by adding
gender-biased messages to prompts constructed from these news headlines. Our
study reveals that the AIGC produced by each examined LLM demonstrates
substantial gender and racial biases. Moreover, the AIGC generated by each LLM
exhibits notable discrimination against females and individuals of the Black
race. Among the LLMs, the AIGC generated by ChatGPT demonstrates the lowest
level of bias, and ChatGPT is the sole model capable of declining content
generation when provided with biased prompts. 

","abs-2409.16913v1, abs-2309.09825v3, abs-2404.10160v6, abs-2309.12132v1"
"Considering the agent framework of 'rights' and 'duties' from abs-2302.03384v1, how could the FOND+ planning model with its explicit fairness assumptions (abs-2103.08391v1) be used to formally represent and generate policies that maintain an agent's 'rights' while fulfilling its 'duties'?","abs-2302.03384v1,abs-2103.08391v1",Synthesis & Multi-Hop Reasoning,"Title: Act for Your Duties but Maintain Your Rights 
Summary: Most of the synthesis literature has focused on studying how to synthesize a
strategy to fulfill a task. This task is a duty for the agent. In this paper,
we argue that intelligent agents should also be equipped with rights, that is,
tasks that the agent itself can choose to fulfill (e.g., the right of
recharging the battery). The agent should be able to maintain these rights
while acting for its duties. We study this issue in the context of LTLf
synthesis: we give duties and rights in terms of LTLf specifications, and
synthesize a suitable strategy to achieve the duties that can be modified
on-the-fly to achieve also the rights, if the agent chooses to do so. We show
that handling rights does not make synthesis substantially more difficult,
although it requires a more sophisticated solution concept than standard LTLf
synthesis. We also extend our results to the case in which further duties and
rights are given to the agent while already executing. 

Title: Flexible FOND Planning with Explicit Fairness Assumptions 
Summary: We consider the problem of reaching a propositional goal condition in
fully-observable non-deterministic (FOND) planning under a general class of
fairness assumptions that are given explicitly. The fairness assumptions are of
the form A/B and say that state trajectories that contain infinite occurrences
of an action a from A in a state s and finite occurrence of actions from B,
must also contain infinite occurrences of action a in s followed by each one of
its possible outcomes. The infinite trajectories that violate this condition
are deemed as unfair, and the solutions are policies for which all the fair
trajectories reach a goal state. We show that strong and strong-cyclic FOND
planning, as well as QNP planning, a planning model introduced recently for
generalized planning, are all special cases of FOND planning with fairness
assumptions of this form which can also be combined. FOND+ planning, as this
form of planning is called, combines the syntax of FOND planning with some of
the versatility of LTL for expressing fairness constraints. A new planner is
implemented by reducing FOND+ planning to answer set programs, and the
performance of the planner is evaluated in comparison with FOND and QNP
planners, and LTL synthesis tools. 

","abs-2302.03384v1, abs-2402.17574v3, abs-2001.07118v2, abs-2102.01685v2, abs-2304.07337v1"
Could the methodology from abs-2404.04436v1 (redacting findings to test AI creativity) be used to evaluate whether the Orion-1 model (abs-2411.06198v1) is truly reasoning about math problems or just retrieving memorized solutions?,"abs-2404.04436v1,abs-2411.06198v1",Synthesis & Multi-Hop Reasoning,"Title: AI Knowledge and Reasoning: Emulating Expert Creativity in Scientific
  Research 
Summary: We investigate whether modern AI can emulate expert creativity in complex
scientific endeavors. We introduce novel methodology that utilizes original
research articles published after the AI's training cutoff, ensuring no prior
exposure, mitigating concerns of rote memorization and prior training. The AI
are tasked with redacting findings, predicting outcomes from redacted research,
and assessing prediction accuracy against reported results. Analysis on 589
published studies in four leading psychology journals over a 28-month period,
showcase the AI's proficiency in understanding specialized research, deductive
reasoning, and evaluating evidentiary alignment--cognitive hallmarks of human
subject matter expertise and creativity. These findings suggest the potential
of general-purpose AI to transform academia, with roles requiring
knowledge-based creativity become increasingly susceptible to technological
substitution. 

Title: OpenAI-o1 AB Testing: Does the o1 model really do good reasoning in math
  problem solving? 
Summary: The Orion-1 model by OpenAI is claimed to have more robust logical reasoning
capabilities than previous large language models. However, some suggest the
excellence might be partially due to the model ""memorizing"" solutions,
resulting in less satisfactory performance when prompted with problems not in
the training data. We conduct a comparison experiment using two datasets: one
consisting of International Mathematics Olympiad (IMO) problems, which is
easily accessible; the other one consisting of Chinese National Team Training
camp (CNT) problems, which have similar difficulty but not as publically
accessible. We label the response for each problem and compare the performance
between the two datasets. We conclude that there is no significant evidence to
show that the model relies on memorizing problems and solutions. Also, we
perform case studies to analyze some features of the model's response. 

","abs-2408.12148v1, abs-2404.04436v1, abs-2412.04857v1, abs-2411.06198v1"
"By combining the 'top-k subtask planning tree' concept from abs-2312.11027v2 with the robot dialog and navigation framework from abs-2005.09833v2, how could a robot be designed to decompose a complex spoken command into a sequence of executable sub-goals?","abs-2312.11027v2,abs-2005.09833v2",Synthesis & Multi-Hop Reasoning,"Title: Learning Top-k Subtask Planning Tree based on Discriminative
  Representation Pre-training for Decision Making 
Summary: Many complicated real-world tasks can be broken down into smaller, more
manageable parts, and planning with prior knowledge extracted from these
simplified pieces is crucial for humans to make accurate decisions. However,
replicating this process remains a challenge for AI agents and naturally raises
two questions: How to extract discriminative knowledge representation from
priors? How to develop a rational plan to decompose complex problems? Most
existing representation learning methods employing a single encoder structure
are fragile and sensitive to complex and diverse dynamics. To address this
issue, we introduce a multiple-encoder and individual-predictor regime to learn
task-essential representations from sufficient data for simple subtasks.
Multiple encoders can extract adequate task-relevant dynamics without
confusion, and the shared predictor can discriminate the task characteristics.
We also use the attention mechanism to generate a top-k subtask planning tree,
which customizes subtask execution plans in guiding complex decisions on unseen
tasks. This process enables forward-looking and globality by flexibly adjusting
the depth and width of the planning tree. Empirical results on a challenging
platform composed of some basic simple tasks and combinatorially rich synthetic
tasks consistently outperform some competitive baselines and demonstrate the
benefits of our design. 

Title: Learning and Reasoning for Robot Dialog and Navigation Tasks 
Summary: Reinforcement learning and probabilistic reasoning algorithms aim at learning
from interaction experiences and reasoning with probabilistic contextual
knowledge respectively. In this research, we develop algorithms for robot task
completions, while looking into the complementary strengths of reinforcement
learning and probabilistic reasoning techniques. The robots learn from
trial-and-error experiences to augment their declarative knowledge base, and
the augmented knowledge can be used for speeding up the learning process in
potentially different tasks. We have implemented and evaluated the developed
algorithms using mobile robots conducting dialog and navigation tasks. From the
results, we see that our robot's performance can be improved by both reasoning
with human knowledge and learning from task-completion experience. More
interestingly, the robot was able to learn from navigation tasks to improve its
dialog strategies. 

","abs-2312.11027v2, abs-2005.09645v1, abs-2404.11027v1, abs-2211.02700v2"
"In the study of AI-generated news bias (abs-2309.09825v3), what was the specific number of news articles collected from The New York Times versus Reuters?",abs-2309.09825v3,Negative / Unanswerable,"Title: Bias of AI-Generated Content: An Examination of News Produced by Large
  Language Models 
Summary: Large language models (LLMs) have the potential to transform our lives and
work through the content they generate, known as AI-Generated Content (AIGC).
To harness this transformation, we need to understand the limitations of LLMs.
Here, we investigate the bias of AIGC produced by seven representative LLMs,
including ChatGPT and LLaMA. We collect news articles from The New York Times
and Reuters, both known for their dedication to provide unbiased news. We then
apply each examined LLM to generate news content with headlines of these news
articles as prompts, and evaluate the gender and racial biases of the AIGC
produced by the LLM by comparing the AIGC and the original news articles. We
further analyze the gender bias of each LLM under biased prompts by adding
gender-biased messages to prompts constructed from these news headlines. Our
study reveals that the AIGC produced by each examined LLM demonstrates
substantial gender and racial biases. Moreover, the AIGC generated by each LLM
exhibits notable discrimination against females and individuals of the Black
race. Among the LLMs, the AIGC generated by ChatGPT demonstrates the lowest
level of bias, and ChatGPT is the sole model capable of declining content
generation when provided with biased prompts. 

","abs-2309.09825v3, abs-2003.00683v1, abs-2302.00419v1, abs-2309.13218v3"
What was the name of the specific enterprise application used as a case study for the 'xLP: Explainable Link Prediction' demo?,abs-2403.09806v1,Negative / Unanswerable,"Title: xLP: Explainable Link Prediction for Master Data Management 
Summary: Explaining neural model predictions to users requires creativity. Especially
in enterprise applications, where there are costs associated with users' time,
and their trust in the model predictions is critical for adoption. For link
prediction in master data management, we have built a number of explainability
solutions drawing from research in interpretability, fact verification, path
ranking, neuro-symbolic reasoning and self-explaining AI. In this demo, we
present explanations for link prediction in a creative way, to allow users to
choose explanations they are more comfortable with. 

","abs-2403.09806v1, abs-2105.06717v1, abs-2110.03875v1, abs-2410.16795v1, abs-2402.12132v1"
"According to the paper on the Nigerian health insurance recommender system (abs-2305.10708v1), what was the average time it took for a user to make a decision before and after using the tool?",abs-2305.10708v1,Negative / Unanswerable,"Title: Machine Learning Recommendation System For Health Insurance Decision
  Making In Nigeria 
Summary: The uptake of health insurance has been poor in Nigeria, a significant step
to improving this includes improved awareness, access to information and tools
to support decision making. Artificial intelligence (AI) based recommender
systems have gained popularity in helping individuals find movies, books,
music, and different types of products on the internet including diverse
applications in healthcare. The content-based methodology (item-based approach)
was employed in the recommender system. We applied both the K-Nearest Neighbor
(KNN) and Cosine similarity algorithm. We chose the Cosine similarity as our
chosen algorithm after several evaluations based of their outcomes in
comparison with domain knowledge. The recommender system takes into
consideration the choices entered by the user, filters the health management
organization (HMO) data by location and chosen prices. It then recommends the
top 3 HMOs with closest similarity in services offered. A recommendation tool
to help people find and select the best health insurance plan for them is
useful in reducing the barrier of accessing health insurance. Users are
empowered to easily find appropriate information on available plans, reduce
cognitive overload in dealing with over 100 options available in the market and
easily see what matches their financial capacity. 

","abs-2305.10708v1, abs-2403.05683v1, abs-2304.11733v1, abs-2202.03047v1"
"In the 'FOND+ planning' paper (abs-2103.08391v1), which specific answer set programming (ASP) solver was used in the implementation of the new planner?",abs-2103.08391v1,Negative / Unanswerable,"Title: Flexible FOND Planning with Explicit Fairness Assumptions 
Summary: We consider the problem of reaching a propositional goal condition in
fully-observable non-deterministic (FOND) planning under a general class of
fairness assumptions that are given explicitly. The fairness assumptions are of
the form A/B and say that state trajectories that contain infinite occurrences
of an action a from A in a state s and finite occurrence of actions from B,
must also contain infinite occurrences of action a in s followed by each one of
its possible outcomes. The infinite trajectories that violate this condition
are deemed as unfair, and the solutions are policies for which all the fair
trajectories reach a goal state. We show that strong and strong-cyclic FOND
planning, as well as QNP planning, a planning model introduced recently for
generalized planning, are all special cases of FOND planning with fairness
assumptions of this form which can also be combined. FOND+ planning, as this
form of planning is called, combines the syntax of FOND planning with some of
the versatility of LTL for expressing fairness constraints. A new planner is
implemented by reducing FOND+ planning to answer set programs, and the
performance of the planner is evaluated in comparison with FOND and QNP
planners, and LTL synthesis tools. 

","abs-2402.11901v1, abs-2412.05528v1, abs-2410.15198v2, abs-2409.01374v1"
